name;sku;price;quantity;description
Aspergillus niger;36987-1889;195687;31;Drainage of Left Face Vein, Percutaneous Approach
Terrasil Balanitis Relief;24909-119;506641;4;Replacement of Left Pulmonary Artery with Zooplastic Tissue, Open Approach
Equate Pain Relieving;49035-049;258630;54;Excision of Left Lower Leg Subcutaneous Tissue and Fascia, Open Approach
ERYTHROMYCIN ETHYLSUCCINATE AND SULFISOXAZOLE ACETYL;54868-0971;685115;66;Repair Lumbosacral Disc, External Approach
Lobelia Quercus;48951-6045;602845;37;Supplement Right Face Vein with Autologous Tissue Substitute, Percutaneous Approach
Orphenadrine Citrate;0185-0022;903366;42;Revision of Nonautologous Tissue Substitute in Upper Tendon, Percutaneous Approach
Short Ragweed;49643-315;802200;38;Drainage of Left Acromioclavicular Joint with Drainage Device, Percutaneous Endoscopic Approach
TREXIMET;21695-954;214219;55;Destruction of Left Parotid Duct, Percutaneous Approach
Verapamil Hydrochloride;54868-5984;259622;73;Removal of Drainage Device from Cervical Vertebral Disc, Open Approach
Cyclobenzaprine Hydrochloride;58118-0541;103927;27;Removal of Nonautologous Tissue Substitute from Stomach, Open Approach
Neutrogena Wet Skin Swim-Humidity-Sweat Sunblock;10812-967;339530;64;Release Tibial Nerve, Open Approach
Dr, Eslee Physical Sunscreen;76340-1201;619811;100;Beam Radiation of Pelvic Bones using Neutrons
Spring Grove Unscented Hand Sanitizer;61827-056;716606;11;Supplement Right Wrist Bursa and Ligament with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
IASO FOR MEN WHITE EX AFTER SHAVE SUPREME;75847-1701;156373;14;Replacement of Right Acetabulum with Synthetic Substitute, Percutaneous Endoscopic Approach
Naproxen;31722-342;58295;100;Occlusion of Left Radial Artery, Percutaneous Approach
HELIOX;10006-009;994234;42;Revision of Drainage Device in Pleura, Via Natural or Artificial Opening
TOFRANIL;0406-9920;283899;3;Supplement Perineum Bursa and Ligament with Synthetic Substitute, Percutaneous Endoscopic Approach
TIMOLOL MALEATE;52125-482;186222;22;Revision of Internal Fixation Device in Right Fibula, Percutaneous Approach
Dr MINERAL Nasal Spray;50499-100;319803;64;Supplement Right Lower Arm and Wrist Tendon with Synthetic Substitute, Percutaneous Endoscopic Approach
Famciclovir;0378-4491;640962;6;Removal of Autologous Tissue Substitute from Upper Back, Percutaneous Endoscopic Approach
Nadolol;0378-1132;137151;81;Excision of Left Tarsal Joint, Percutaneous Endoscopic Approach
Sunmark Adult Tussin;49348-421;517368;64;High Dose Rate (HDR) Brachytherapy of Cervix using Iodine 125 (I-125)
Amoxicillan;51655-159;603371;13;Tomographic (Tomo) Nuclear Medicine Imaging of Pelvic Region using Iodine 123 (I-123)
Professional Weight Support;43742-0102;438097;21;Revision of Nonautologous Tissue Substitute in Left Auditory Ossicle, Via Natural or Artificial Opening Endoscopic
smart sense miconazole 1;49738-737;360023;77;Release Brachial Plexus, Percutaneous Approach
All Day Allergy Relief;55910-220;813842;80;Tomographic (Tomo) Nuclear Medicine Imaging of Right Breast using Technetium 99m (Tc-99m)
Lithium Carbonate;51079-142;427416;10;Removal of Neurostimulator Lead from Left Innominate Vein, External Approach
Levothyroxine sodium;0781-5191;752897;48;Revision of Drainage Device in Pelvic Cavity, Percutaneous Approach
Coppertone Tanning Dry Oil;11523-7216;419170;66;Revision of Internal Fixation Device in Right Glenoid Cavity, Percutaneous Endoscopic Approach
Epidermophyton;49288-0194;250940;24;Removal of Drainage Device from Penis, Percutaneous Approach
Carvedilol;50436-2608;837359;61;Reposition Sacrum with Internal Fixation Device, Open Approach
ALTERNARIA TENUIS;0268-0813;42081;91;Destruction of Right Sphenoid Sinus, Percutaneous Approach
Ramipril;54868-5842;329119;38;Upper Arteries, Insertion
Growth Hormone;62835-689;492554;79;Reposition Right External Jugular Vein, Open Approach
BareMinerals Golden Medium matte;98132-134;256520;59;Revision of Infusion Device in Left Knee Joint, External Approach
topiramate;0832-0708;139953;4;Drainage of Right Kidney, Open Approach
Trazodone Hydrochloride;0603-6161;592736;78;Supplement Right Zygomatic Bone with Synthetic Substitute, Percutaneous Endoscopic Approach
Azithromycin Dihydrate;68788-9529;634070;38;Replacement of Right Face Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
Eye Wash;13985-013;209641;61;Replacement of Upper Lip with Autologous Tissue Substitute, Open Approach
levetiracetam;68180-116;164425;78;Dilation of Left Common Iliac Artery with Intraluminal Device, Percutaneous Endoscopic Approach
Horse Fly;36987-1808;817184;68;Repair Right Testis, Percutaneous Endoscopic Approach
Hemorrhoids;55714-2220;774730;62;Removal of Infusion Device from Ovary, Percutaneous Approach
Lisinopril;49349-391;79133;95;Removal of Autologous Tissue Substitute from Peritoneum, Percutaneous Endoscopic Approach
FRESH JUICE E;76214-025;11129;65;Fluoroscopy of Right Hand
All Day Allergy;41268-458;585267;38;Dilation of Left Subclavian Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Spongatos;68428-001;82643;77;Bypass Left Ventricle to Left Pulmonary Artery, Open Approach
Smart Sense naproxen sodium;49738-490;556082;66;Extraction of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach
Antacid;55312-485;743906;62;Replacement of Left Lacrimal Duct with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic
lisinopril;50436-7988;601104;97;Alteration of Right Knee Region with Synthetic Substitute, Percutaneous Endoscopic Approach
No7 Lift and Luminate Foundation Sunscreen Broad Spectrum SPF 15 Hazelnut;61589-6013;282;8;Repair Left Radius, Percutaneous Approach
CareOne Acid Reducer;41520-950;13781;44;Revision of Infusion Device in Genitourinary Tract, Percutaneous Approach
Fluphenazine Hydrochloride;53808-0247;499460;22;Supplement Nasopharynx with Synthetic Substitute, Open Approach
Leader Aller Ease;49781-034;189443;29;Supplement Left Foot with Nonautologous Tissue Substitute, Open Approach
Cuprum aceticum Zincum valerianicum;48951-3143;211835;14;Drainage of Facial Nerve with Drainage Device, Open Approach
EXTENDED PHENYTOIN SODIUM;55648-720;311199;26;Restriction of Lower Esophagus with Intraluminal Device, Percutaneous Approach
Maximum Strength Flu HBP;55910-461;583715;76;Dilation of Splenic Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Clean Choice Foodservice Antibacterial;11084-255;965777;84;Division of Right Thorax Bursa and Ligament, Open Approach
GABAPENTIN;25000-104;647756;89;Dilation of Right Eustachian Tube, Open Approach
Oxybutynin Chloride;60432-092;210037;17;Drainage of Lumbar Nerve, Percutaneous Endoscopic Approach, Diagnostic
Divalproex Sodium;0603-3443;934118;53;Removal of Drainage Device from Uterus and Cervix, Via Natural or Artificial Opening
Ranitidine;59779-356;649525;48;Removal of Splint on Left Upper Leg
Perfecting Liquid Foundation Alabaster;42508-153;129131;46;Bypass Portal Vein to Left Renal Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach
Sulfur 30 Special Order;48951-8248;988419;6;Fluoroscopy of Left Wrist using Other Contrast
Garnier Skin Naturals;49967-671;97372;19;Replacement of Left Breast with Synthetic Substitute, Open Approach
Childrens Mucinex;63824-285;378909;64;Drainage of Right Lower Lung Lobe with Drainage Device, Open Approach
HAMSOA YUYU PURE MILD WASH;50964-020;849908;94;Reposition of Cervical Vertebra using Magnetically Controlled Growth Rod(s), Percutaneous Endoscopic Approach, New Technology Group 2
Oral Assist;68703-090;629227;34;Bypass Right Axillary Artery to Right Upper Arm Artery with Synthetic Substitute, Open Approach
Cephalexin;66116-400;456473;10;Replacement of Right Anterior Tibial Artery with Nonautologous Tissue Substitute, Open Approach
Allopurinol;51079-205;233584;13;Reposition Right Mandible with External Fixation Device, Percutaneous Approach
Warfarin Sodium;31722-334;231404;84;Introduction of Other Diagnostic Substance into Nose, External Approach
health mart ibuprofen;62011-0011;307452;80;Removal of Infusion Device from Peritoneal Cavity, Percutaneous Endoscopic Approach
SULFACETAMIDE SODIUM;68387-491;476486;85;Removal of Drainage Device from Left Extraocular Muscle, Open Approach
SHISEIDO SHEER AND PERFECT FOUNDATION;58411-105;382899;63;Drainage of Left Ulnar Artery with Drainage Device, Percutaneous Endoscopic Approach
Venlafaxine Hydrochloride;65862-528;15887;87;Dilation of Right Subclavian Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Sotalol Hydrochloride;68151-2702;161310;1;Bypass Left Femoral Artery to Bilateral Femoral Arteries with Synthetic Substitute, Open Approach
Sure Invisible Solid Regular;41595-5510;286099;58;Supplement Transverse Colon with Autologous Tissue Substitute, Via Natural or Artificial Opening
Hydrogen Peroxide;41190-871;1578;75;Bypass Cecum to Rectum with Autologous Tissue Substitute, Open Approach
Hydromorphone Hydrochloride;35356-815;596077;57;Removal of Drainage Device from Hepatobiliary Duct, External Approach
HurriCaine;0283-0679;225005;90;Dilation of Left Popliteal Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Coppertone oil free;11523-7329;719217;16;Revision of Infusion Device in Thymus, Percutaneous Endoscopic Approach
Etodolac;54868-1978;423402;13;Supplement Right Auditory Ossicle with Synthetic Substitute, Open Approach
tizanidine;60505-0254;429395;75;Drainage of Right Ethmoid Sinus with Drainage Device, Open Approach
CLARINS BROAD SPECTRUM SPF 50 Plus - SUNSCREEN FOR FACE WRINKLE CONTROL;58668-4031;127079;34;Fusion of Right Tarsal Joint, Percutaneous Endoscopic Approach
Reef Safe SPF 40;52854-400;346433;55;Drainage of Right Knee Region, Percutaneous Approach
kirkland signature minoxidil;63981-798;19608;18;Change Intermittent Pressure Device on Right Finger
Lorazepam;63739-156;746702;87;Extirpation of Matter from Right Ventricle, Percutaneous Endoscopic Approach
Fosinopril Sodium;54868-5064;3910;75;Revision of Extraluminal Device in Kidney, Via Natural or Artificial Opening
TRIAMCINOLONE ACETONIDE;16590-234;222040;11;Drainage of Cerebral Hemisphere, Percutaneous Approach
Fluconazole;65862-299;769976;87;Insertion of Infusion Device into Celiac Artery, Percutaneous Endoscopic Approach
BENEFIANCE PROTECTIVE HAND REVITALIZER;52686-106;527730;28;Repair Right Ethmoid Sinus, Percutaneous Endoscopic Approach
Pain Relief;11822-0008;271805;13;Detachment at Left Ring Finger, Low, Open Approach
Diovan HCT;55154-9663;481899;45;Dilation of Face Artery, Percutaneous Endoscopic Approach
Berberis Homaccord;50114-1200;10724;51;Revision of Neurostimulator Lead in Cranial Nerve, Percutaneous Approach
Mag-Al Plus XS;55154-9422;94745;40;Dilation of Right External Carotid Artery, Bifurcation, Percutaneous Approach
Algenist;53407-155;559141;16;Excision of Left Pleura, Percutaneous Approach, Diagnostic
Isosorbide;52125-059;177086;26;Extirpation of Matter from Right Thyroid Gland Lobe, Percutaneous Approach
Sheer Cover Pressed Mineral Foundation;11410-600;344222;96;Excision of Cerebral Meninges, Open Approach, Diagnostic
HYDROCODONE BITARTRATE AND ACETAMINOPHEN;43353-721;538291;31;Destruction of Right External Carotid Artery, Open Approach
MINTOX MAXIMUM STRENGTH;0904-5725;509353;100;Drainage of Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach, Diagnostic
clindamycin hydrochloride;21695-034;729773;48;Measurement of Products of Conception, Cardiac Rate, External Approach
Triazolam;68788-9542;441470;23;Reposition Right Elbow Bursa and Ligament, Open Approach
Telmisartan;0054-0542;157544;8;Insertion of Feeding Device into Duodenum, Percutaneous Endoscopic Approach
AMOREPACIFIC;43419-507;998763;73;Replacement of Lower Gingiva with Nonautologous Tissue Substitute, Open Approach
Medi First Plus Sinus Pain and Pressure;47682-158;570597;62;Revision of Autologous Tissue Substitute in Right Shoulder Joint, Percutaneous Endoscopic Approach
Warfarin Sodium;54868-4349;983661;94;Beam Radiation of Peripheral Nerve using Neutrons
Anticavity Fluoride Rinse;55316-213;338329;91;Supplement Thoracolumbar Vertebral Disc with Synthetic Substitute, Percutaneous Approach
Muscle Rub Ultra;37808-773;98715;82;Occlusion of Right Radial Artery with Intraluminal Device, Percutaneous Approach
DawnMist Antiperspirant Deodorant;65517-1005;667665;43;Supplement Face with Synthetic Substitute, Percutaneous Endoscopic Approach
Zithranol;42783-111;167340;9;Release Right Maxilla, Percutaneous Endoscopic Approach
DOBUTamine;0409-2025;755023;28;Drainage of Right Femoral Vein, Percutaneous Endoscopic Approach
Carbo Chamomilla Digestive Support;48951-3024;943300;48;Bypass Right Femoral Artery to Peroneal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
RAPAFLO;54868-6173;980066;24;Division of Left Upper Arm Tendon, Percutaneous Approach
Divine Lift Foundation SPF;50184-6700;161286;73;Destruction of Thoracic Duct, Percutaneous Endoscopic Approach
Cuprum Stannum;48951-3145;46839;39;Repair Upper Esophagus, Via Natural or Artificial Opening Endoscopic
DOCTORS CHOICE;63783-013;256416;57;Extirpation of Matter from Left Vitreous, Percutaneous Approach
Antibacterial Foaming Hand Sanitizer;50988-192;222063;41;Extirpation of Matter from Gastric Artery, Bifurcation, Percutaneous Endoscopic Approach
MARK, BLEMISH BANISHER;10096-0194;81715;6;Drainage of Right Seminal Vesicle, Percutaneous Approach
AZACTAM;0003-2570;859233;93;Immobilization of Right Lower Arm using Brace
Potassium Phosphates;0409-7295;114524;33;Repair Nervous System in Products of Conception, Percutaneous Approach
REBETOL;0085-1318;235623;79;Removal of Autologous Tissue Substitute from Left Lower Femur, Percutaneous Endoscopic Approach
LUSTER NOW;57353-103;325501;34;Destruction of Right Ulnar Artery, Percutaneous Endoscopic Approach
Sanitex MVP Liquid Anti-Bacterial;52007-110;601614;67;Inspection of Lower Bursa and Ligament, Percutaneous Approach
Allergy;30142-479;773639;36;Introduction of Electrolytic and Water Balance Substance into Upper GI, Percutaneous Approach
Peppermint Swirl Antibacterial Hand Sanitizer;50563-303;946653;89;Revision of Interbody Fusion Device in Cervical Vertebral Joint, Open Approach
DAY CREAM REPLENISHING HYDRATOR;34022-102;400340;70;Excision of Left Common Iliac Vein, Percutaneous Approach, Diagnostic
Treatment Set TS329526;49288-0737;441351;82;Destruction of Bilateral Vas Deferens, Percutaneous Endoscopic Approach
Acid Reducer;51660-351;634935;71;Excision of Stomach, Via Natural or Artificial Opening, Diagnostic
HAMSOA YUYU PURE MILD FOAMING WASH;50964-100;859375;99;Revision of Drainage Device in Right Wrist Joint, Percutaneous Endoscopic Approach
LBEL SUPREMACIE NX JOUR Replenishing Daytime Face SPF 15 Normal To Oily Skin;43596-0006;348705;39;Restriction of Middle Esophagus with Extraluminal Device, Open Approach
Hydrocodone Bitartrate and Acetaminophen;12634-616;811316;2;Bypass Right Kidney Pelvis to Ileocutaneous with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
Activive;49726-002;784232;92;Introduction of Analgesics, Hypnotics, Sedatives into Nose, External Approach
Nicotrol;0009-5401;726024;24;Occlusion of Left Lacrimal Duct, Open Approach
Zolpidem Tartrate;0093-0074;828520;61;Removal of Extraluminal Device from Ureter, Percutaneous Approach
Phenobarbital;0463-6160;248588;75;Repair Left Thyroid Artery, Percutaneous Approach
NO-WEAK-NAILS;59672-0916;844779;13;Reposition Right Hip Bursa and Ligament, Open Approach
Nasal Decongestant;59970-052;928787;66;Supplement Left Ring Finger with Synthetic Substitute, Open Approach
DILT-CD;60505-0007;172123;17;Introduction of Other Therapeutic Substance into Mouth and Pharynx, External Approach
INSTANT HAND SANITIZER;59450-223;911173;51;Aphasia Assessment
Carbon Dioxide;54949-004;451030;54;Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Venous Tissue, Percutaneous Endoscopic Approach
Homeopathic Allergy Formula;10578-016;62303;36;Bypass Left External Iliac Artery to Right Femoral Artery with Nonautologous Tissue Substitute, Open Approach
Lisinopril;49349-374;38163;25;Excision of Right Upper Arm Muscle, Open Approach
HYDROCODONE BITARTRATE;61919-296;702351;7;Destruction of Left External Ear, Percutaneous Endoscopic Approach
Wild Strawberry Anti-Bacterial Hand Sanitizer;49371-037;205475;27;Extirpation of Matter from Bilateral Lungs, Via Natural or Artificial Opening
Hand Sanitizer;49348-405;656680;73;Revision of Drainage Device in Bladder, External Approach
Coppertone Clearly Sheer For Beach and Pool;11523-7368;727231;64;Reposition Left Humeral Shaft with Ring External Fixation Device, Percutaneous Endoscopic Approach
Licel;76441-902;243291;79;Nonimaging Nuclear Medicine Probe of Lower Extremity using Other Radionuclide
Orabase Benzocaine;0126-0082;426293;51;Ventilation, Respiration and Circulation Assessment of Respiratory System - Head and Neck using Mechanical Equipment
Enoxaparin Sodium;0548-5601;57904;36;Supplement Bilateral External Ear with Nonautologous Tissue Substitute, Open Approach
LOSARTAN POTASSIUM and HYDROCHLOROTHIAZIDE;60760-760;772587;9;Supplement Right Axillary Vein with Synthetic Substitute, Percutaneous Approach
Chamomilla Belladonna Special Order;48951-3061;818378;72;Drainage of Right Acromioclavicular Joint, Percutaneous Endoscopic Approach
Hemorrhoid;50114-8006;885403;90;Change Traction Apparatus on Head
Sportenine;0220-9352;770081;98;Excision of Right Foot, Open Approach, Diagnostic
Symbyax;0002-3232;973994;8;Destruction of Stomach, Open Approach
Hydrocodone Bitartrate and Acetaminophen;0591-0503;572539;80;Dilation of Left Lesser Saphenous Vein, Percutaneous Endoscopic Approach
Cefdinir;67253-012;874432;51;Division of Left Tibia, Percutaneous Endoscopic Approach
METOPROLOL SUCCINATE;58118-0734;75829;9;Extirpation of Matter from Cecum, Percutaneous Approach
Natures Gate;61380-259;67248;58;Revision of External Fixation Device in Right Patella, Open Approach
Tamsulosin Hydrochloride;10370-169;337117;73;Repair Right Subclavian Artery, Open Approach
Amoxicillin and Clavulanate Potassium;54569-5470;85506;15;Replacement of Hair with Synthetic Substitute, External Approach
CVS;59779-273;746457;82;Occlusion of Right Hand Artery with Intraluminal Device, Open Approach
Aller-Chord Food;64578-0056;185683;64;Revision of Nonautologous Tissue Substitute in Lower Artery, Percutaneous Endoscopic Approach
Lisinopril and Hydrochlorothiazide;60505-0206;178832;3;Extirpation of Matter from Uterus, Via Natural or Artificial Opening
Sodium Chloride;49349-943;272128;11;Alteration of Abdominal Wall with Nonautologous Tissue Substitute, Open Approach
Alba Hawaiian Aloe Vera Sunblock SPF 30;61995-2825;102984;22;Dilation of Right Anterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach
Advanced First Aid;57955-6000;475556;66;Beam Radiation of Skull using Photons <1 MeV
Woodwards HandClens Foaming Sanitizer;60193-201;513815;86;Release Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
ClearCalm 3 Anti-Acne Starter;51417-3341;110094;29;Dilation of Right Common Iliac Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Cefdinir;0781-6077;951401;72;Removal of Nonautologous Tissue Substitute from Left Ankle Joint, Percutaneous Approach
Leader Allergy;37205-277;149866;69;Replacement of Right External Iliac Vein with Autologous Tissue Substitute, Open Approach
OBAGI-C RX SYSTEM NORMAL-DRY;62032-524;739709;22;Inspection of Left Femoral Region, Percutaneous Endoscopic Approach
Aceon;76234-000;746877;98;Drainage of Left Ethmoid Sinus, Percutaneous Endoscopic Approach
Oxycodone and Acetaminophen;42858-103;967350;8;Release Bilateral Adrenal Glands, Open Approach
INSTANT Hand Sanitizer Extra Enriched With Vitamin E Vanilla Scent;33992-1067;219186;63;Repair Left Glenoid Cavity, Open Approach
Walgreens;0363-8130;685768;55;Excision of Right Metatarsal, Open Approach
HASOL Intensive Scalp Tonic;51270-120;628662;83;Excision of Portal Vein, Percutaneous Endoscopic Approach, Diagnostic
Spironolactone;0378-0243;895869;70;Supplement Right Breast with Autologous Tissue Substitute, External Approach
simvastatin;53808-0919;623724;17;Plain Radiography of Right Lower Extremity Lymphatics using Other Contrast
Diorskin Nude Natural Glow Makeup 050 Dark Beige;61957-2050;668248;31;Reposition Right Maxilla with External Fixation Device, Percutaneous Endoscopic Approach
Phenylephrine Hydrochloride;66758-016;817994;34;Insertion of Other Device into Left Upper Extremity, Percutaneous Approach
Vancomycin Hydrochloride;0409-6531;302344;44;Resection of Left Eye, External Approach
risperidone;68382-155;402878;79;Occlusion of Descending Colon with Intraluminal Device, Via Natural or Artificial Opening
Extra Thick Callus Removers;49035-019;941986;39;Revision of Extraluminal Device in Bladder, Via Natural or Artificial Opening Endoscopic
Carbidopa and levodopa;0228-2538;673307;39;Bypass Left Subclavian Artery to Right Lower Arm Artery with Synthetic Substitute, Open Approach
ANTIBACTERIAL FOAMING;47124-177;821645;84;Introduction of Intracirculatory Anesthetic into Central Vein, Open Approach
Neostigmine Methylsulfate;0641-6141;612356;45;Division of Left Lower Extremity Bursa and Ligament, Percutaneous Approach
Carvedilol;55154-1681;472721;93;Supplement Upper Esophagus with Autologous Tissue Substitute, Open Approach
Medrol;54569-0327;336083;63;Change Splint on Left Inguinal Region
Ropinirole Hydrochloride;68084-195;378595;22;Destruction of Left Common Iliac Vein, Percutaneous Endoscopic Approach
Ranitidine;66116-518;496431;26;Irrigation of Pericardial Cavity using Irrigating Substance, Percutaneous Approach, Diagnostic
PAROXETINE;55154-0736;185816;52;Drainage of Left Face Vein, Open Approach
Pioglitazone;63304-255;757019;10;Bypass Left Pleural Cavity to Pelvic Cavity with Synthetic Substitute, Open Approach
Carcinosin;43742-0208;659423;72;Plain Radiography of Other Veins using High Osmolar Contrast
Terazosin;24236-669;468278;6;Supplement Right Little Finger with Synthetic Substitute, Percutaneous Endoscopic Approach
Extra Strength Acetaminophen PM;55319-556;156071;92;Insertion of Infusion Device into Right Metacarpophalangeal Joint, Open Approach
NO-AD 15 Sunscreen;62802-212;99067;44;Drainage of Left Upper Leg Subcutaneous Tissue and Fascia with Drainage Device, Open Approach
California Black Walnut;36987-3070;912924;38;Drainage of Right Cephalic Vein, Percutaneous Approach, Diagnostic
CVS;59779-272;456063;85;Supplement Left Elbow Joint with Autologous Tissue Substitute, Percutaneous Approach
Bleomycin;61703-332;167501;44;Revision of Spacer in Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
Dermarest;63736-302;834279;2;Occlusion of Thorax Lymphatic with Intraluminal Device, Percutaneous Approach
PF ANTI-BACTERIAL HAND SANITIZING WIPES;76323-001;362306;77;Transfusion of Autologous White Cells into Peripheral Vein, Open Approach
Risperidone;58118-5685;793721;77;Repair Left Hepatic Duct, Percutaneous Approach
Donepezil Hydrochloride;33342-030;372221;3;Replacement of Right Internal Jugular Vein with Synthetic Substitute, Open Approach
Berberis Vulgaris Kit Refill;68428-134;797739;74;Drainage of Left Ankle Bursa and Ligament with Drainage Device, Open Approach
Strattera;0002-3238;106139;41;Removal of Autologous Tissue Substitute from Urethra, Via Natural or Artificial Opening Endoscopic
Molds, Rusts and Smuts, Phoma herbarum;65044-5222;513379;4;Acoustic Reflex Patterns Assessment using Tympanometer
Comtan;55154-3428;109411;89;Supplement Left Lower Extremity Lymphatic with Synthetic Substitute, Open Approach
Sleep Aid;59779-409;514395;42;Drainage of Left Shoulder Joint with Drainage Device, Open Approach
Gabapentin;0228-2637;991926;95;Supplement Upper Gingiva with Autologous Tissue Substitute, Percutaneous Approach
RUE 21 Apple Anti Bacterial Hand Sanitizer;50563-168;172917;39;Plain Radiography of Cervical Facet Joint(s) using Other Contrast
Birch;36987-2535;934956;20;Removal of Other Device from Chest Wall, External Approach
Chloroquine Phosphate;43063-454;914441;76;Insertion of Intramedullary Internal Fixation Device into Left Ulna, Open Approach
Amoebasode;43772-0015;682812;65;Restriction of Left Axillary Lymphatic, Open Approach
LATISSE;0023-3616;960708;37;Destruction of Nasal Bone, Open Approach
IXEMPRA;0015-1911;825878;82;Removal of Intraluminal Device from Nose, Via Natural or Artificial Opening Endoscopic
Flecainide Acetate;63304-795;155867;20;Mouth and Throat, Occlusion
Kirkland Signature AllerClear D 12 hr;63981-013;34518;69;Removal of Internal Fixation Device from Left Elbow Joint, Open Approach
Ibuprofen;52125-234;901801;30;Release Mesentery, Percutaneous Endoscopic Approach
Hexalen;62856-001;248415;8;Release Left Axillary Artery, Percutaneous Approach
Bryonia Stannum;48951-2087;758333;20;Release Epiglottis, Via Natural or Artificial Opening
Advanced relief;41520-532;671099;2;Restriction of Middle Esophagus with Extraluminal Device, Percutaneous Approach
Teeth - Gums;55714-2283;8033;42;Revision of Synthetic Substitute in Thoracic Vertebral Disc, Percutaneous Endoscopic Approach
kirkland signature Minoxidil;63981-294;510693;59;Repair Right Axillary Artery, Percutaneous Endoscopic Approach
Sunmark Cold Head Congestion;49348-791;368118;90;Revision of Synthetic Substitute in Kidney, Open Approach
Fluoxetine;65862-192;534166;66;Drainage of Left Trunk Muscle, Percutaneous Endoscopic Approach, Diagnostic
PHOSLYRA;49230-643;911529;61;Excision of Skull, Open Approach
Bacitracin Zinc;52959-113;817485;83;Beam Radiation of Pelvic Bones using Photons 1 - 10 MeV
Sporting Edge;57955-5031;669441;90;Drainage of Left Sphenoid Bone, Percutaneous Approach, Diagnostic
Amlodipine Besylate;42806-055;80726;93;Revision of Infusion Device in Right Hip Joint, Percutaneous Approach
GOODSENSE MEDICATED PADS;75981-007;591779;34;Occlusion of Stomach, Open Approach
Loratadine and Pseudoephedrine;0363-0725;432360;76;High Dose Rate (HDR) Brachytherapy of Trachea using Cesium 137 (Cs-137)
LAMOTRIGINE;49349-857;447917;67;Muscle Performance Assessment of Neurological System - Head and Neck using Prosthesis
Metformin Hydrochloride;63629-1395;223659;23;Drainage of Left Sublingual Gland, Open Approach
Modafinil;63629-4998;495657;12;Supplement Left Foot Muscle with Synthetic Substitute, Percutaneous Endoscopic Approach
Ibuprofen;51655-049;981961;13;Removal of Infusion Device from Left Eye, Via Natural or Artificial Opening
Alprazolam;0781-1061;73993;97;Drainage of Right Elbow Region, Open Approach
Neutrogena Oil Free Acne Wash;10812-900;118055;84;Replacement of Right External Iliac Artery with Autologous Tissue Substitute, Open Approach
Rugby Calcium Carbonate 10 gr;0536-1024;928260;5;Insertion of Spacer into Right Ankle Joint, Percutaneous Endoscopic Approach
Waterless Fragrance Free Hand Sanitizer;55319-501;978728;49;Removal of Spacer from Left Shoulder Joint, Percutaneous Endoscopic Approach
